File:,"../Sarcasm/Sarcasm_train_set_3.csv"
TEXT,VALUE,PRED,CORRECT
"soldier hoping we invade someplace tropical next",1,-1,FAIL
"los angeles train hits car on tracks and derails, 21 hurt",-1,-1,MATCH
"new 'baby weinstein' tapes prepare infants for career in entertainment law",1,1,MATCH
"leo dicaprio: green tech can soon meet 100% of global energy needs",-1,1,FAIL
"why we should care about changes in the pharmaceutical industry",-1,-1,MATCH
"thursday's morning email: the obamacare repeal comes down to these three senators",-1,-1,MATCH
"paul ryan discovers half-finished escape tunnel leading out of speaker's office",1,1,MATCH
"area units really moving",1,1,MATCH
"how i became that middle-aged woman who uses baby talk with her dogs",-1,-1,MATCH
"depression, strained finances combine forces to produce grotesque culinary abomination",1,1,MATCH
"cop grudgingly admits suspect is the best goddamn pedophile he's seen in 30 years on the force",1,-1,FAIL
"these dogs dressed as dads totally brighten our day",-1,-1,MATCH
"how to grocery shop for lasting beauty",-1,-1,MATCH
"somali pirates free 26 asian sailors after 4 years in captivity",-1,1,FAIL
"the 'rain room' is coming to los angeles, not to be confused with actual rain",-1,-1,MATCH
"world gets first-ever look inside greenspan fantasy ranch",1,1,MATCH
"from 'scandal' to 'house of cards,' political dramas are suffering in the trump era",-1,-1,MATCH
"civil rights movement network law is a much-needed tool",-1,-1,MATCH
"5.85 million people who can't vote but can they still complain?",-1,1,FAIL
"mcdonald's unveils new senior citizen playplace",1,1,MATCH
"the best food processors, according to amazon reviewers",-1,-1,MATCH
"good news kept from parents out of fear of proving them right",1,1,MATCH
"washington's hobby lobby lobbies to strengthen hobbies",1,1,MATCH
"lessons from a brush fire: "what do you want us to grab, honey?"",-1,-1,MATCH
"moon finally hatches",1,1,MATCH
"theodore roosevelt was a gay man",1,-1,FAIL
"madonna teases new song at surprise met gala performance",-1,1,FAIL
"poll finds many voters would support equally unlikable third-party candidate",1,1,MATCH
"grown man who owns bane action figure has love to give",1,1,MATCH
"a lot of americans are thumbs down on roger goodell and tom brady",-1,-1,MATCH
"donald trump says he'll stick with personal twitter account as president",-1,-1,MATCH
"bathroom-disinfectant ad reinforces obsessive-compulsive disorder",1,1,MATCH
"alan turing and the five sigma theory of progress",-1,-1,MATCH
