"soldier hoping we invade someplace tropical next",2
"los angeles train hits car on tracks and derails, 21 hurt",0
"new 'baby weinstein' tapes prepare infants for career in entertainment law",2
"leo dicaprio: green tech can soon meet 100% of global energy needs",0
"why we should care about changes in the pharmaceutical industry",0
"thursday's morning email: the obamacare repeal comes down to these three senators",0
"paul ryan discovers half-finished escape tunnel leading out of speaker's office",2
"area units really moving",2
"how i became that middle-aged woman who uses baby talk with her dogs",0
"depression, strained finances combine forces to produce grotesque culinary abomination",2
"cop grudgingly admits suspect is the best goddamn pedophile he's seen in 30 years on the force",2
"these dogs dressed as dads totally brighten our day",0
"how to grocery shop for lasting beauty",0
"somali pirates free 26 asian sailors after 4 years in captivity",0
"the 'rain room' is coming to los angeles, not to be confused with actual rain",0
"world gets first-ever look inside greenspan fantasy ranch",2
"from 'scandal' to 'house of cards,' political dramas are suffering in the trump era",0
"civil rights movement network law is a much-needed tool",0
"5.85 million people who can't vote but can they still complain?",0
"mcdonald's unveils new senior citizen playplace",2
"the best food processors, according to amazon reviewers",0
"good news kept from parents out of fear of proving them right",2
"washington's hobby lobby lobbies to strengthen hobbies",2
"lessons from a brush fire: 'what do you want us to grab, honey?'",0
"moon finally hatches",2
"theodore roosevelt was a gay man",2
"madonna teases new song at surprise met gala performance",0
"poll finds many voters would support equally unlikable third-party candidate",2
"grown man who owns bane action figure has love to give",2
"a lot of americans are thumbs down on roger goodell and tom brady",0
"donald trump says he'll stick with personal twitter account as president",0
"bathroom-disinfectant ad reinforces obsessive-compulsive disorder",2
"alan turing and the five sigma theory of progress",0
"aquarium touch tank lets kids pet water in natural environment",2
"podcaster makes solemn promise to improve sound quality next episode",2
"the strange tale of a former putin favorite's fall from grace",0
"area man demands more starches",2
"right to own handheld device that shoots deadly metal pellets at high speed worth all of this",2
"junior-high-school badminton unit inspires 948 'shuttlecock' jokes",2
"the top 10 wedding toast faux pas",0
"there is no right way, just write",0
"huffpost rise morning newsbrief, october 13",0
"paul ryan's remarkable, personal demand for becoming speaker",0
"historical archives: civil war pre-enactors have stage'd 'battle of bull run'",2
"a childless woman's response to 'you're missing out'",0
"kate middleton feels royal baby kicking during queen's coronation anniversary",2
"5 mistakes moms make when setting new year's resolutions",0
"newt gingrich: 'it's an honor to address a crowd that shares my utterly bizarre and unhealthy obsession with hillary clinton'",2
"whoops: franklin graham's new bank is lgbt-friendly, too",0
"chita rivera promises 'strength,' style and surprises at carnegie hall",0
"find lead paint violations in new york city neighborhoods",0
"rookie trucker always on cb to mother",2
"area woman loses respect earned since last st. patrick's day",2
"new uber update allows users to file lawsuit against company directly in app",2
"nato confronts turkey on human rights concerns after donald trump lets them slide",0
"neighbors tried to rescue this dog, but he's still suffering",0
"30-million-year-old species worried it doesn't have another evolution in it",2
"'motorcycle bomb' explodes near police station in istanbul",0
"poll: americans think gop's iran letter was inappropriate",0
"same homeless man always begging for change on united flight",2
"new photos show hurricane matthew's path of destruction in haiti",0
"man filming childbirth picks up some b-roll of wife's vagina while waiting for baby to crown",2
"how to tell if a product is actually eco-friendly, from alexandra zissu (video)",0
"unpaid internship a really great experience for local company",2
"cities across the west coast are uniting against monsanto",0
"new pre-sauced napkins can be thrown away straight from package",2
"man dives haphazardly into conversation like wounded osprey",2
"how your sleep changes with the moon",0
"police union chief: tamir rice family should use settlement funds on gun education for kids",0
"new study finds best sunscreen is layer of human blood",2
"iraq: be careful how you mess with the sunni world",0
"every intern at nonprofit trying to solve refugee crisis first",2
"'it's a privilege to have worked with such talented people,' says coworker getting the fuck out of there",2
"a gospel of white supremacy is not the gospel of christ",0
"area panties in a bunch",2
"supreme court legalizes gay marriage after landmark 193,000,000-115,000,000 decision",2
"these boston bombing survivors don't think it's too soon for 'patriots day'",0
"6 ways to overcome a life challenge",0
"family assistants are the new nannies ─ and here's why we're absolutely on board",0
"man always attempts to intercept tossed things",2
"surge soda is back! (and has already sold out once)",0
"'trump filter' erases the donald from your chrome browser",0
"watch: the insanely easy way to poach a dozen eggs at once",0
"bully tragically trusted to sign arm cast",2
"here's what happens when kids age out of foster care",0
"meghan heffern of the cw's backpackers is a mickey mouse fan",0
"bernie sanders agrees to drop out of race in exchange for 13-hour speaking slot at convention",2
"poll finds hillary clinton candidate most americans want to have 8-ounce glass of tap water with",2
"man briefly forgets hotel staff are not humans",2
"u.s. consumers announce plan to get one of those",2
"police satisfied after drunk man assures them there's no problem",2
"russia calls syria gas attack a 'monstrous crime,' but refuses to trust u.s. conclusions",0
"novelist obliterates the bundy militia ─ and oregon's largest newspaper ─ in 194 words",0
"safeguarding the well-being of children",0
"finally something economists can agree on: trump's debt talk made zero sense",0
"bugs infesting area apartment have no clear goal",2
"taco trucks and other easy targets for racists",0
