File:,"../Sentiment/Sentiment_train_set_4.csv"
TEXT,VALUE,PRED,CORRECT
"@subbspy seriously i REALLY bored right now. my sister driving me crazy and..well the good thing is my stomachache gone ",1,-1,FAIL
"AASU basketball camp was just canceled. ",-1,-1,MATCH
"Our plans to grill outside tonight foiled by a grill that won't light! ",-1,-1,MATCH
"@estoni I am exactly in the Kansas City metropolitan area in the middle of the U.S. Landlocked. ",1,-1,FAIL
"@numberfortyfour ? You have had a lack thereof? Want some? ",1,1,MATCH
"@SexySwedishBabe Heee! INGMAR POWAR. We adopted Ingy the day Bergman died and thought the name suited him, somehow. Maybe he's Swedish? ",1,1,MATCH
"watching come dine with me on catch up again..... as there is no point in going to bed as Miss Olivia isn't sleeping again ",-1,-1,MATCH
"@laurenliscio OH MY GOD. I want to go to that concert so badly! But if I were to ask my dad he'd be like, ohhh too last minute, blah blah ",-1,-1,MATCH
"@HeikeB Definitely will! ",1,1,MATCH
"I want more Slings and Arrows, but it's not coming till tomorrow. ",-1,-1,MATCH
"@JazzyLamby nah give me 10mins i figured it out  ty tho",1,-1,FAIL
"On the way to a wedding. My friend is marrying a local actor...should see some celebs. ",1,1,MATCH
"ok, enough with the tension. my &quot;paradise&quot; is at discovery mills and julians....i'll be goin there thursday with my besties...all but one ",-1,-1,MATCH
"@selenagomez sel,june 4th was my birthday.please say something.its over tough ",-1,1,FAIL
"@sianhughes_ Its sunny in the north, literally we had a mini heatwave earlier! It was too hot! ",-1,-1,MATCH
"@the_tigercub hahaha if I am then I am very proud of that title  GO ORLANDO MAGIIIIIIIC",1,1,MATCH
"watching parker make a fool of himself http://www.blogtv.com/people/parker221 NICK...YOU NEED TO GET ON! ",-1,1,FAIL
"Computer still broked... ",-1,-1,MATCH
"revising ict ",1,1,MATCH
"@WeronikaFutile kay kay :b du auch +.+  &amp;ich denke dass ging noch..  have a great day tomorrow &lt;3",1,1,MATCH
"@everybodywins Wow, hey thanks!! ",1,1,MATCH
"@virginia_lw well you managed the hard bit ",1,1,MATCH
"@brittanynoel went to your blog, no pics of beach ",-1,-1,MATCH
"@marginatasnaily  tell him to sort it out n drag his ass to the indian.. xxx",-1,-1,MATCH
