File:,"../Sentiment/Sentiment_train_set_2.csv"
TEXT,VALUE,PRED,CORRECT
"@Anime81 (I hope I get this right) Pero, no tan bonita como tu. ",1,-1,FAIL
"Good morning. no exams today, but final english tomorrow. R&amp;R. ",1,1,MATCH
"@newO_nyboR haha yeah me too  and why did you go home early? :o",1,1,MATCH
"Summer has nice weather.  &lt;3",1,1,MATCH
"@itsJohno @mattGarner If only I got an EMA ",-1,1,FAIL
"Chillin and dont know wat too do... oh well...  ",1,1,MATCH
"It's coming  #xboxe3",1,1,MATCH
"@jonray Hook you up with lots of Twitterers always giving away FREE stuff ... just a month ago you could get lots of free laptops ... ",1,1,MATCH
"@Sunir yeah - just got to gold status.. travel might slow down a little now though... ",-1,1,FAIL
"For some reason, Adium deleted all my contacts for AIM. Now I have to go through my chat logs to find everyone again ",-1,-1,MATCH
"@freddurst i am! but she doesnt feel the same ",-1,-1,MATCH
"explosion in my bag ",-1,1,FAIL
"is   cuz stupid bus takes 25 mins to get to school",-1,-1,MATCH
"@yonderboy you're forgetting that within their borders they ARE the world! ",1,1,MATCH
"I have so much love for this girl @felicia600 ",-1,1,FAIL
"@missryss HAHA I took the quiz on fb and missed the mcfly one ",-1,-1,MATCH
"@Modest_Bleeders no spam... a friend really sent it. thanx 4 the vote of confidence.. ",-1,1,FAIL
"@kartikaastri i'm sooow damn happy cause June will come in several hours yihaaa ",1,1,MATCH
"@XChadballX i wanna come! buuuut it's too far. ",-1,-1,MATCH
"i want sun ",-1,1,FAIL
"@LILthomasWAYNE You realllllllllly just said that didn't you? ",1,1,MATCH
"ew why am i so ugly and nasty looking?  its depressing.",-1,-1,MATCH
"Shopping...so much to get before Peru...got shoes any found a bag. Also getting stripey blu tees for France...week today ",1,-1,FAIL
"@Simpsdj  Get better soon.  Or just don't give it me.",-1,1,FAIL
"Hangover = 5 stars. ",1,-1,FAIL
"@nkb shinysome ",1,1,MATCH
"watching the nanny ",1,1,MATCH
"@sez101 okay, thanks ",1,1,MATCH
"Driving to the Downy Court House to take care of a ticket  in Bellflower, CA http://loopt.us/RurDFQ.t",-1,1,FAIL
"I hate drawing backgrounds... ",-1,-1,MATCH
"@CorinneAM Oh no, Corinne. I can't believe you meant to send that tweet.  Did you follow the wrong link?",-1,1,FAIL
"http://twitpic.com/7zpop - Baby ignoring me and using computer ",-1,1,FAIL
"ok, time to go online....9Dragons waiting for meeeee.... ",1,1,MATCH
"Molly woke me up. ",-1,1,FAIL
"Now it's starting to cool off. I hate the heat!! Anyone else still awake out there. I'm stupid tired right now ",-1,-1,MATCH
"@gregalvang More like, Gregwhorey! Blackle is my homepage too but it sucks you cant google images  COS THEY'RE STUPID.",-1,-1,MATCH
"@gimmethatcock I just made a suggestion. You agreed. ",1,1,MATCH
