File:,"../Sentiment/Sentiment_test_set.csv"
TEXT,VALUE,PRED,CORRECT
"it's been a while-i'm back! studying ",-1,-1,MATCH
"@RalphTresvant Well Happy Birthday to her! Hope u guys enjoy the day ",1,1,MATCH
"really misses her voice ",-1,-1,MATCH
"@epidaetia whats bad abt it? good thing indeed  congrats..when is the summit",1,1,MATCH
"@dbarefoot Sweet! Thanks ",1,1,MATCH
"wish i had a phone so i can tweet all the time  ",-1,-1,MATCH
"@sofabar I am  I'll let you know how it goes",1,1,MATCH
"I hate when Jack talks about drinking. Loosing mad respect and I dont think I love him anymore ",-1,-1,MATCH
"smoooked a bong last night and stole somebodies cellllephone  arcticmonkaaays",1,1,MATCH
"Boy does my bed have pink on it! its easy to tell my fav color &amp; birth month.  LISTENING to Mitchel Musso's How To Lose A Girl on REPEAT!",1,1,MATCH
"says I'm already nervous for tomorrow's interview.  Wish me luck. (goodluck) Deplurking, nite. (bye) http://plurk.com/p/xn63f",-1,-1,MATCH
"@JessInChina Now you have my interest  At TB's I'm &quot;Stigweard&quot;. Some interesting topics there like this one: http://bit.ly/10EB4D",1,1,MATCH
"I came back last night! ",1,-1,FAIL
"happy mom's day  i love my mommy with all my heart!",1,1,MATCH
"its 2am in italy and i cant fall asleep ",-1,-1,MATCH
"I need milk for breakfast. I really don't want to leave the house before I eat.  Waaah!!!",-1,-1,MATCH
"@fleurdeleigh I was OUT of coffee this morning and the morning has been full of bleeps here too. ",-1,-1,MATCH
"ZOMG i have just saw pics of tim burton's alice in wonderland johnny depp looks so freaky lol god 2010 is such a long time away ",-1,-1,MATCH
"started reading new moon last night and cryed its so sad ",-1,-1,MATCH
"is about to watch 'the making of radioactive' dvd ",1,1,MATCH
"ok last day at work for this week,... than i have a loooong weekend! ",1,-1,FAIL
"@dreams_ Wicked! When's your new book due - I need something new to read! ",1,1,MATCH
"@rhomany Nope STILL not working ",-1,-1,MATCH
"@tommcfly Oh Tom, you've been brainwashed ",-1,-1,MATCH
"Well, @michelleblau, @glamma_ink has three new Tatt guns on the way - so he'll need to test them on someone!  I'm a willing participant",1,-1,FAIL
"#FollowFriday ~ EVERYONE. I don't want to miss ANYONE...I ♥ you ALL!!! So, take THAT personally please!!! ",1,-1,FAIL
"Need to send emails to 100,000  contacts? Check out EmailUnlimited on http://www.4officeautomation.com ",1,1,MATCH
"@lexingtonmm hi it's me ",1,-1,FAIL
"waiting for nancy to call back &lt;3 my phone is fucked up  gotta go to the t-mobile store....",-1,-1,MATCH
"@sitavermeulen and i love you... ",1,1,MATCH
"is already looking forward to going to Popsikle next week! ",1,1,MATCH
"Just heard my bootleg remix of &quot;if u seek amy&quot; on kiss fm here in Chicago ",1,1,MATCH
"@ddlovato awn  of course i'll pray for you, my queen! i'm sure your voice will be better tomorrow! &lt;3",-1,1,FAIL
"@MissChicXOXO @MissVixenPHX @wagnersgirl19 @materialBITCH @dedillard @MissKarly @rockalong @MissPrisss  - I love you fuckin fuckers. ",1,1,MATCH
"@1perfectbeauty go to settings and click the picture tab you'll find there. you can upload a picture from your hard-drive from there ",1,1,MATCH
"@JustDaria right here ",1,1,MATCH
"bout to smoke a blunt to the face and knock out!! I fogot I got a court date tomo early  fuckin piiiigs!! Gnite",-1,-1,MATCH
"Is finally back in bed...all alone...  LOL",-1,1,FAIL
"OMG!! my body is aching like to the max! ",-1,-1,MATCH
"Ooooh, there's actually some cute boys aside from Kyle at Tom Thumb. ",1,1,MATCH
"Oh &amp; December was there too!! What a sweet babygirl  http://twitpic.com/5ogrw",1,1,MATCH
"This holiday sucks! Worst Summer holiday ever...and only 1 week in...I want to go back to Uni/Cardiff ",-1,-1,MATCH
"Oh so board!!  didn't know that we really weren't going 2 race and it is just hitting me! I love the races and can't believe i'm not goin!",-1,-1,MATCH
"@TimKlabunde Hi Tim! I'm lame. I'm going to miss the next happy hour. I have class ",-1,-1,MATCH
"Blahh I was woken up but an I'm why do I forget I'm signed on sometiimes?? ",-1,-1,MATCH
"@chingmun AHHHH!!!!i kept on thanking you!!ahahahaha... i really love the song!  good morning btw!!!",1,1,MATCH
"ooh no #asylm is at the bottom of trending topics  try to keep it on there guys",-1,-1,MATCH
"is gutted that Flawless didnt win BGT ",-1,-1,MATCH
"hahays make up class... what the...  http://plurk.com/p/11k9yr",-1,1,FAIL
"@m2112 apparently the glee that is the glee club... who really knows these things? ",1,-1,FAIL
"@MissNickyHilton nice kitties, I also have one of this breed!  Hope you have a nice day, greets and best wishes from Germany! Damien",1,1,MATCH
"@SnowWhite23 I'm just giving you positive vibes ",1,1,MATCH
"@vin495 Good night. I hope you get better ",1,1,MATCH
"@etman21 lol obviously u are now sleeping...so...goodnight to u as well... ",1,1,MATCH
"Drinking a lattè instead os waiting in lone for the new iPhone. Starbucks is just too expensive in Germany   http://twitpic.com/7s93f",-1,1,FAIL
"@JSWolck Gotta sleep now. I hope that #FUCKGFW won't give me a nightmare. Thanks for your kindness!   ",1,1,MATCH
"I want my cruise picture when I'm sitting on Jon's lap........ Come on @NKOTB  love y'all! I really do",1,-1,FAIL
"hey whats up??? , church was so very long !!!!  ",-1,-1,MATCH
"ddim yn reli deall twitter atm ",-1,1,FAIL
"@Gidge_8 I can sum it up in one word: SAD.  ",-1,1,FAIL
"@nerdcave  http://bit.ly/4dtd7o SOLVE IT NAO ",1,1,MATCH
"is finally up  and still wondering why the ground isn't moving underneath me like it does on rollercoasters ",-1,-1,MATCH
"Not sure if I like TweetDeck or not. I can't access all of my followees, for some reason.  Need to look up support...",-1,-1,MATCH
"@Ginaschreck Wonder if he typed his overhead slides on a typewriter ",1,1,MATCH
"@Aisle_19 Hey JD, so where is your favorite place to go exploring? The world  Every place is great, you learn form each one ",1,1,MATCH
"needs to rain its so hot and dry, but cloudy makes no sense ",-1,-1,MATCH
"seeeeeeeeeeem sonoooooooooooooooo ",-1,1,FAIL
"is out ballooning! ",1,-1,FAIL
"Nope. Sleeping in the lap. ",-1,1,FAIL
"@colinlowe the road to vista 7 has many twists and turns    the road is too bumpy it seems ",-1,-1,MATCH
"@dwoodyd yeah it does ",-1,-1,MATCH
"superbestfriends @rachaelearl and @bekalowe need to create ME a photography website ",-1,1,FAIL
"Gonna watch 'Glee' and the 'You've Got Mail' with @_Michelle_E .  &lt;3",1,1,MATCH
"@ibelieveinpink Aw so sweet! See ya in  a few hours!! ",1,1,MATCH
"@NetterB I go every Friday to one on East Broad. Always crappy ",-1,-1,MATCH
"I want new games wats a good game to buy at this time i have been thinkin halo wars got an idea message me and tell me ",1,-1,FAIL
"@SportsProfit Yeah, they won't be strict at the beginning..but I'm probably going to NY in the winter though  when I can get more money.",-1,-1,MATCH
"My Twitting frm Phone is slow. ",-1,-1,MATCH
"@murnahan Congratulations to you and @pegmu on the birth of baby Jack BTW!  x",1,1,MATCH
"I hate exams and being sick ",-1,-1,MATCH
"The cut on my feet is damn painful ",-1,-1,MATCH
"@isacullen I'm not - cuddles with Ben and Nate are very good at de-stressing me. Just hurting on behalf of Robert really ",-1,-1,MATCH
"trying to decide what to do tonighttttt. we wanted to go to espn zone but its so ugly out ",-1,-1,MATCH
"@eljatrum Well, I wanted one for a while now and the tax return I got today helped a bit ",1,-1,FAIL
"Made friends with my ebay seller.. and now i feel awkward complaining that i've recieved a faulty item   damn you charming power seller!",-1,-1,MATCH
"@BB517  you and I apparently  how are you?",1,1,MATCH
"@Jasper_Hale_84 Hey Jaz, not much mate just chating to rose  what you doing.?",1,-1,FAIL
"@Go_RV_ing @jmasty @ahaileyjr @euvoli_143 thanx for the follow ppl ",1,1,MATCH
"Voting for @mileycyrus for the MTV Movie Awards ",1,1,MATCH
"@officialnjonas http://twitpic.com/6gwaw - go nick  , you ate the best !",1,1,MATCH
"is going to watch michael mcintyre 2nite-what a legend    ",1,1,MATCH
"@lifelivedfully what happened?! ",-1,1,FAIL
"@joeymcintyre You need to tile your background so we can actually see the picture - it's being blocked by the twitter screen ",1,1,MATCH
"My head still hurts  off to work",-1,-1,MATCH
"@MaggieDammit I'm so sorry for your loss.  ",-1,-1,MATCH
"had a good workout today...i got to keep my body looking good ",1,1,MATCH
"@jessiibean omg, you do know him! oh can you say hi to him for me pleaseee and tell me what he says back! ",1,1,MATCH
"@anahi_0716 neither do I... ",-1,1,FAIL
"this is the first time I am annoyed with ONTD!! ",-1,-1,MATCH
"@wvk are you feeling better? I'm sick now ",-1,-1,MATCH
"is FAST, FUN, AND FRIENDLY. AND CAN NOW CHECK U OUT. I'm like a &quot;check-it-out-girl&quot;  not rly. hahah I love Target.",-1,-1,MATCH
"Seniors make me sad ",-1,-1,MATCH
"@ratties http://twitpic.com/6ozy1 - Looks real good ",1,1,MATCH
"@lijeyeshaveit  I want to come out but I can't. Next year though should be so fun.",-1,-1,MATCH
"Out of Hello Kitty band-aids.  ",-1,1,FAIL
"@nrcha I had heard this but didn't believe until I saw it.. I won't compain anymore, looks like the sun is back ",1,-1,FAIL
"finished setting up his 24-inch LED monitor and MacBook Pro 15&quot; for work.  YAY. Now of course I want a 24-inch LED monitor for home ",-1,-1,MATCH
"Wearing my fingers off playing the keyboard. Stumbled my way through Give In by Tina Dico  Pretty good seeing as there's no sheet music.",1,-1,FAIL
"@harpydora Ah. I'm at a party in Alabama with good friends. Good times ",1,1,MATCH
"@CampWildGirls Thanks for the #followfriday. Due to an unusual alignment of work inconvenience I was unable to join in the fun ",-1,1,FAIL
"2 More Hours... 2 More Hours... 2 More Hours of Work... WANNA GO HOME NOW!  ",-1,-1,MATCH
"@ Thedzer Oh those darn goodyear blimps making tons of noise lol... Im sad you were in Tampa when I wasnt there. ",-1,-1,MATCH
"didn't bitch slap him but definitely thought about it. ",1,-1,FAIL
"Amazing number of Turkish spam in theaquarium's comments. Cleaning up... ",-1,-1,MATCH
"Get Your Back Off the Wall (3OH!3) - Family Force 5 ",1,1,MATCH
"@chetanbhawani i have seen few such freeware directories while stumbling, but cannot recollect the urls now ",-1,-1,MATCH
"i really miss my soulmate ",-1,-1,MATCH
"@featureBlend you too ",1,-1,FAIL
"Why does the Sims 3 have to come out the first week of school? I'm not going to be able to play it until Friday ",-1,-1,MATCH
"IF YOU GOOD AT IT?! THEN DO IT!, i'm good at sleep then i'm going to do it soon  ",1,1,MATCH
"@AlexAllTimeLow N'aww  Poor thing &lt;3",-1,1,FAIL
"@OAR_Richard oartv was amazing last night.  thanks for answering questions   can't wait to hear the recording!!!",1,1,MATCH
"Ew going to the dentist tomorrow ",-1,1,FAIL
"Are you tellin me I cant have you forever ",-1,-1,MATCH
"@ohsnapitsalyssa your not going?!?!?!?!  AWWWW",-1,-1,MATCH
"@chermayneugenia yes baby! hehe im so happy!!!  now u know i'm available for u at all times yeah? Hehehe...",1,1,MATCH
"im sorry my blog, you look horrible now ",-1,-1,MATCH
"ZOMG! Caught up from three days backlog of Tweets, including some...enthusiastic...Twitterers. Now I'm all relaxed. ",1,1,MATCH
"Trying Pandora/Dora.FM thing...what will this look like...we will see  — Train: Drops Of Jupiter http://dora.fm/xv #dora",1,1,MATCH
"Co-worker just said that I like to flirt with the delivery guys...lol...I didn't know it was obvious  ",1,-1,FAIL
"goodnight to all ",1,1,MATCH
"@nevrothwen I´m going to do exactly the same thing now ",1,1,MATCH
"I missed my irish boys so much! So glad to be back with them ! I love you c.j.!  thanks for a great show!",1,1,MATCH
"is not happy about this traffic ",-1,-1,MATCH
"@alyssamichaela  haha jk. howd you end up getting to work that?",-1,-1,MATCH
"Already 12:30 pm. Great  3 hours to go.",1,-1,FAIL
"@laurastaniford I dont know which Twitter post you are replying  but in reply to your reply :",1,1,MATCH
"slightly sad moment  no letter...",-1,-1,MATCH
"outdoor working on my tan. goodbye to winter blah, hello summer tan ",1,-1,FAIL
"@Roqayah good morning ",1,1,MATCH
"Havent had cereal in ages. Perfect time ",1,1,MATCH
"http://twitpic.com/4hcqo - Nice sculptures ",1,1,MATCH
"damn it! i forgot to do my homework in English... now, i have to do it plus with parent's signature ",-1,-1,MATCH
"@1nationchris awwwe..I'm sorry. They been doing ppl bad as long as I've lived in dc. U need a new spot ",1,-1,FAIL
"Twitter will be down for us brits at 4am. Just a heads up ",1,1,MATCH
"soo sick  I want cuddles so bad",-1,-1,MATCH
"How do you attach a picture? Tree fell on my truck ",-1,1,FAIL
"I swear I'm kinda ready to have another baby  &quot;/ can't wait",-1,-1,MATCH
"listening to Danny Gokey's version of &quot;P.Y.T&quot; on repeat. ",1,1,MATCH
"@KatVonD89 Ummm... more like a really yag song ",-1,-1,MATCH
"Ashley= getting sick... Ugh I'm losing my voice! Nooo ",-1,-1,MATCH
"@jordanknight  Good morning Jordan! I have been up for 2 hours already! must be nice to sleep in, lol ",1,-1,FAIL
"mmm, I love chocolate mousse. and I love this sunshine, but I missed the rain  #yeg",-1,-1,MATCH
"@missjuiciij thank you  it was quick and good... it was literally 5 minutes cause she was busy and alone. she said she would call soon.",1,1,MATCH
"@manachar HA! I like that...but no. NOLA = New Orleans Louisiana.  ",1,-1,FAIL
"Well yall...off to work...holla later on tonight, after the gym!  Gotta go hoop it up. ",1,1,MATCH
"going to the mall...lake was cancelled...bummer dude ",-1,-1,MATCH
"@lil_ms_tina84 aww well thats good to hear  I'm great thanks, u been up to much? x",1,1,MATCH
