File:,"../Sentiment/Sentiment_train_set_1.csv"
TEXT,VALUE,PRED,CORRECT
"@EnduranceCorner we expect big things out of you for today's APFT ",1,1,MATCH
"Memleketime selam söyleyin benden de  re: http://ff.im/3EKeN",1,1,MATCH
"Pumped about @ByGraceMusic at the POW Explosion tonight! You should come and hang out!  Doors @ 7.  Tix are $6 (cash only).  ",1,1,MATCH
"@dylanrhymes / @meatkatie have fun boys! lemme know how ladyhawke is! ",1,1,MATCH
"@FantasyJewelry treschicbeauty@gmail.com...is that what you were looking for? ",1,1,MATCH
"http://twitpic.com/68syn - No more food!?  hahaha! ",1,1,MATCH
"@Vompire I was playing a plant deck, I reaalllly need some more botanical lions ",1,1,MATCH
"Is at  work....boo....and isn't feeling very well....double boo ",-1,-1,MATCH
"My eyelids get soooo heavy here @ work in front of the computer ",-1,-1,MATCH
"Do you know this feeling when words from a other person running trough your mind and you have to smile? That happens to me right now ",1,1,MATCH
"@karencreel  our not ours  ",1,-1,FAIL
"Last time on the mind eraser then we're leaving ",-1,1,FAIL
"Goodmorning America! ",1,1,MATCH
"I don't have words to explain what I'm feelling today... everything is perfect ",1,-1,FAIL
"good morning ... hope you all did sleep well ",1,1,MATCH
"@Sooooshi, Hellz yeah! I just thought I would round up a few applications to turn in on Friday. The people at Sonic were mean ",-1,-1,MATCH
"Dreamy donuts.. Mmmmm so bloody yummy ",1,-1,FAIL
"@whatwomenwant, @misslightbright, @swankycyn,@msmichelleb, @qmaybach &lt;------Hottest chicks on twitter ",1,1,MATCH
"knee still hurts. dont want to got to school tomorrow. that means i have only 4 days till my chemistry exam ",-1,-1,MATCH
"My gorgeous,loving, oh so wonderful husband just bought me the third book in the twilight series.   yeah! I'm excited to get into it!",1,1,MATCH
"@LokoBoy_ can u pls play some soulja boy? @djkelz won't play turn my swag on for me ",-1,-1,MATCH
"@Joliet68 it does seem very silly - the utter gits ",-1,1,FAIL
"sound of madness! shinedown! ",1,1,MATCH
"thx Jesus for everything.. i know, when i call on Ur name, all things are possible in my life!!!!!!  thx thx thx (:",1,-1,FAIL
"@jaybranch Green Tea?  Yuk lol!  I want it to warm up - tired of being cold ",1,-1,FAIL
"I did many things today, but they all felt like Side quests, didn't feel like i could advance the plot anyways ",-1,-1,MATCH
"@stackedgroup oh yesh you did haha anyways i hear your feeling sick  (i am nearly better)",-1,-1,MATCH
"hmm thanks  so i just voted again ",1,1,MATCH
"@undisclosed2you I don't think it will. It was hurt bad, and still in the middle of the road. I just hope they can ease its pain ",-1,-1,MATCH
"@SEZrules i checked yesterday and the link worked. UGH. i hate it! ",-1,-1,MATCH
"cleaned the house today, the last time we cleaned Hitler was attacking France!! ",1,1,MATCH
"ice skating is toooo cold. my nose is red ",-1,-1,MATCH
"@tiffymoreee i thought so ",1,-1,FAIL
"@konghee Have a good time with Sun &amp; Dayan there at NY!  ",1,1,MATCH
"@veronicasmommy Lol! I'm for real!! They kill me with the whole not being able to take rejection thing: ",1,-1,FAIL
"@younglazy sounds chill! just keep me posted. night boy ",1,1,MATCH
"Added the template &quot;Blacker&quot; ! What more can i say other than its all black  , download on section 9 of the site, cheers, mikey",1,1,MATCH
"i miss my sister ",-1,-1,MATCH
"@ANinjaMilkman Wanna game on fifa tonight ? my game froze right after you scored a goal just had toni walking in the goal aha ",1,1,MATCH
"of to ZBB ",1,1,MATCH
"@capnpnut12 cant wait to see your reaction Morgan! Mine's weird cause I was in my PJ's and my computer was deleting youtube all the time ",-1,-1,MATCH
"im in love with a 50 year old man ",1,1,MATCH
"Thanks to @bobbyllew I just discovered that I can listen to BBC Radio online! I love BBC Radio ",1,1,MATCH
"movie night at jackies ",1,1,MATCH
"got really bad hayfever eyes and nose and dunno how to get rid of it  hellpppp",-1,-1,MATCH
"Ow am nw busy studing 4 my midyear exam.  am left with only 3 subjects",1,-1,FAIL
"@jaclyn_t well I'm a nice guy... wouldn't push you in the water! can't ruin that ipod of yours.  ",1,1,MATCH
"Yeah this really isnt going good. Its not solving anything. And im going to get yelled at for being on the computer. ",-1,-1,MATCH
"@tommcfly hi ",1,1,MATCH
"at this skatepark in a mall in georgia. this is lame ",-1,-1,MATCH
"@mattgemmell that's a classic, the pool part ",1,1,MATCH
"Wtf, I get called in for jury duty on the last day of the week?!?! ",-1,-1,MATCH
"Hope Paula will twitter me!!  :S",-1,1,FAIL
"Wish I was in PA ",-1,-1,MATCH
"@edwardart Of course.  I noticed.  ",1,-1,FAIL
