File:,"../Sentiment/Sentiment_test_set.csv"
TEXT,VALUE,PRED,CORRECT
"it's been a while-i'm back! studying ",-1,1,FAIL
"@RalphTresvant Well Happy Birthday to her! Hope u guys enjoy the day ",1,1,MATCH
"really misses her voice ",-1,-1,MATCH
"@epidaetia whats bad abt it? good thing indeed  congrats..when is the summit",1,-1,FAIL
"@dbarefoot Sweet! Thanks ",1,1,MATCH
"wish i had a phone so i can tweet all the time  ",-1,-1,MATCH
"@sofabar I am  I'll let you know how it goes",1,1,MATCH
"I hate when Jack talks about drinking. Loosing mad respect and I dont think I love him anymore ",-1,1,FAIL
"smoooked a bong last night and stole somebodies cellllephone  arcticmonkaaays",1,-1,FAIL
"Boy does my bed have pink on it! its easy to tell my fav color &amp; birth month.  LISTENING to Mitchel Musso's How To Lose A Girl on REPEAT!",1,1,MATCH
"says I'm already nervous for tomorrow's interview.  Wish me luck. (goodluck) Deplurking, nite. (bye) http://plurk.com/p/xn63f",-1,1,FAIL
"@JessInChina Now you have my interest  At TB's I'm &quot;Stigweard&quot;. Some interesting topics there like this one: http://bit.ly/10EB4D",1,1,MATCH
"I came back last night! ",1,-1,FAIL
"happy mom's day  i love my mommy with all my heart!",1,1,MATCH
"its 2am in italy and i cant fall asleep ",-1,-1,MATCH
"I need milk for breakfast. I really don't want to leave the house before I eat.  Waaah!!!",-1,-1,MATCH
"@fleurdeleigh I was OUT of coffee this morning and the morning has been full of bleeps here too. ",-1,-1,MATCH
"ZOMG i have just saw pics of tim burton's alice in wonderland johnny depp looks so freaky lol god 2010 is such a long time away ",-1,-1,MATCH
"started reading new moon last night and cryed its so sad ",-1,-1,MATCH
"is about to watch 'the making of radioactive' dvd ",1,1,MATCH
"ok last day at work for this week,... than i have a loooong weekend! ",1,-1,FAIL
"@dreams_ Wicked! When's your new book due - I need something new to read! ",1,-1,FAIL
"@rhomany Nope STILL not working ",-1,-1,MATCH
"@tommcfly Oh Tom, you've been brainwashed ",-1,1,FAIL
"Well, @michelleblau, @glamma_ink has three new Tatt guns on the way - so he'll need to test them on someone!  I'm a willing participant",1,1,MATCH
"#FollowFriday ~ EVERYONE. I don't want to miss ANYONE...I ♥ you ALL!!! So, take THAT personally please!!! ",1,-1,FAIL
"Need to send emails to 100,000  contacts? Check out EmailUnlimited on http://www.4officeautomation.com ",1,1,MATCH
"@lexingtonmm hi it's me ",1,1,MATCH
"waiting for nancy to call back &lt;3 my phone is fucked up  gotta go to the t-mobile store....",-1,1,FAIL
"@sitavermeulen and i love you... ",1,1,MATCH
"is already looking forward to going to Popsikle next week! ",1,1,MATCH
"Just heard my bootleg remix of &quot;if u seek amy&quot; on kiss fm here in Chicago ",1,1,MATCH
"@ddlovato awn  of course i'll pray for you, my queen! i'm sure your voice will be better tomorrow! &lt;3",-1,1,FAIL
"@MissChicXOXO @MissVixenPHX @wagnersgirl19 @materialBITCH @dedillard @MissKarly @rockalong @MissPrisss  - I love you fuckin fuckers. ",1,1,MATCH
"@1perfectbeauty go to settings and click the picture tab you'll find there. you can upload a picture from your hard-drive from there ",1,1,MATCH
"@JustDaria right here ",1,1,MATCH
"bout to smoke a blunt to the face and knock out!! I fogot I got a court date tomo early  fuckin piiiigs!! Gnite",-1,-1,MATCH
"Is finally back in bed...all alone...  LOL",-1,1,FAIL
"OMG!! my body is aching like to the max! ",-1,1,FAIL
"Ooooh, there's actually some cute boys aside from Kyle at Tom Thumb. ",1,1,MATCH
"Oh &amp; December was there too!! What a sweet babygirl  http://twitpic.com/5ogrw",1,1,MATCH
"This holiday sucks! Worst Summer holiday ever...and only 1 week in...I want to go back to Uni/Cardiff ",-1,1,FAIL
"Oh so board!!  didn't know that we really weren't going 2 race and it is just hitting me! I love the races and can't believe i'm not goin!",-1,1,FAIL
"@TimKlabunde Hi Tim! I'm lame. I'm going to miss the next happy hour. I have class ",-1,-1,MATCH
"Blahh I was woken up but an I'm why do I forget I'm signed on sometiimes?? ",-1,-1,MATCH
"@chingmun AHHHH!!!!i kept on thanking you!!ahahahaha... i really love the song!  good morning btw!!!",1,1,MATCH
"ooh no #asylm is at the bottom of trending topics  try to keep it on there guys",-1,-1,MATCH
"is gutted that Flawless didnt win BGT ",-1,1,FAIL
"hahays make up class... what the...  http://plurk.com/p/11k9yr",-1,1,FAIL
"@m2112 apparently the glee that is the glee club... who really knows these things? ",1,-1,FAIL
"@MissNickyHilton nice kitties, I also have one of this breed!  Hope you have a nice day, greets and best wishes from Germany! Damien",1,-1,FAIL
"@SnowWhite23 I'm just giving you positive vibes ",1,1,MATCH
"@vin495 Good night. I hope you get better ",1,-1,FAIL
"@etman21 lol obviously u are now sleeping...so...goodnight to u as well... ",1,1,MATCH
"Drinking a lattè instead os waiting in lone for the new iPhone. Starbucks is just too expensive in Germany   http://twitpic.com/7s93f",-1,1,FAIL
"@JSWolck Gotta sleep now. I hope that #FUCKGFW won't give me a nightmare. Thanks for your kindness!   ",1,-1,FAIL
"I want my cruise picture when I'm sitting on Jon's lap........ Come on @NKOTB  love y'all! I really do",1,1,MATCH
"hey whats up??? , church was so very long !!!!  ",-1,-1,MATCH
"ddim yn reli deall twitter atm ",-1,1,FAIL
"@Gidge_8 I can sum it up in one word: SAD.  ",-1,-1,MATCH
"@nerdcave  http://bit.ly/4dtd7o SOLVE IT NAO ",1,1,MATCH
"is finally up  and still wondering why the ground isn't moving underneath me like it does on rollercoasters ",-1,-1,MATCH
"Not sure if I like TweetDeck or not. I can't access all of my followees, for some reason.  Need to look up support...",-1,-1,MATCH
"@Ginaschreck Wonder if he typed his overhead slides on a typewriter ",1,1,MATCH
"@Aisle_19 Hey JD, so where is your favorite place to go exploring? The world  Every place is great, you learn form each one ",1,-1,FAIL
"needs to rain its so hot and dry, but cloudy makes no sense ",-1,-1,MATCH
"seeeeeeeeeeem sonoooooooooooooooo ",-1,1,FAIL
"is out ballooning! ",1,1,MATCH
"Nope. Sleeping in the lap. ",-1,1,FAIL
"@colinlowe the road to vista 7 has many twists and turns    the road is too bumpy it seems ",-1,-1,MATCH
"@dwoodyd yeah it does ",-1,1,FAIL
"superbestfriends @rachaelearl and @bekalowe need to create ME a photography website ",-1,1,FAIL
"Gonna watch 'Glee' and the 'You've Got Mail' with @_Michelle_E .  &lt;3",1,1,MATCH
"@ibelieveinpink Aw so sweet! See ya in  a few hours!! ",1,-1,FAIL
"@NetterB I go every Friday to one on East Broad. Always crappy ",-1,-1,MATCH
"I want new games wats a good game to buy at this time i have been thinkin halo wars got an idea message me and tell me ",1,1,MATCH
"@SportsProfit Yeah, they won't be strict at the beginning..but I'm probably going to NY in the winter though  when I can get more money.",-1,-1,MATCH
"My Twitting frm Phone is slow. ",-1,1,FAIL
"@murnahan Congratulations to you and @pegmu on the birth of baby Jack BTW!  x",1,1,MATCH
"I hate exams and being sick ",-1,-1,MATCH
"The cut on my feet is damn painful ",-1,1,FAIL
"@isacullen I'm not - cuddles with Ben and Nate are very good at de-stressing me. Just hurting on behalf of Robert really ",-1,-1,MATCH
"trying to decide what to do tonighttttt. we wanted to go to espn zone but its so ugly out ",-1,-1,MATCH
"@eljatrum Well, I wanted one for a while now and the tax return I got today helped a bit ",1,-1,FAIL
"Made friends with my ebay seller.. and now i feel awkward complaining that i've recieved a faulty item   damn you charming power seller!",-1,-1,MATCH
"@BB517  you and I apparently  how are you?",1,-1,FAIL
"@Jasper_Hale_84 Hey Jaz, not much mate just chating to rose  what you doing.?",1,-1,FAIL
"@Go_RV_ing @jmasty @ahaileyjr @euvoli_143 thanx for the follow ppl ",1,1,MATCH
