File:,"../Sentiment/Sentiment_train_set_3.csv"
TEXT,VALUE,PRED,CORRECT
"OMG trying to updating apps and the App Store is fucking slow ",-1,-1,MATCH
"@Wo0t LOL she said u would be mortified, before magic mount. She called and they started talking ",1,-1,FAIL
"GOD is so good to me!!!!!OH how I am being blessed ",1,-1,FAIL
"procrastinating ",1,1,MATCH
"@deenoel great idea!  My daughter is 11 now...all she wants is her computer and her music! Oh, and her Breyer horses ",1,-1,FAIL
"@mileycyruuus yes I can talk friench and in my picture this is me in france !!  Now , i'm in london and soon i'm going to L.A ",1,-1,FAIL
"Headache  I hate headaches",-1,-1,MATCH
"@hugonator yeah its sexy  i want one. but... eh. prolly gonna have to wait",1,-1,FAIL
"@trishalepper Do you think Ed has twitter? My heart is empty knowing he won't be there on Monday ",-1,-1,MATCH
"@iamdiddy Crank it up!!! Lol. ",1,1,MATCH
"been in bed sick all day!  time to put on my face and get ready for work! yay...........",-1,-1,MATCH
"Ok twits, I must leave for the beer party thingy... enjoy the evening. I shall return later. ",1,-1,FAIL
"@RAZNKN Yay.  A little jealous but see you in six days ",1,1,MATCH
"missing Mexico more than ever ",-1,-1,MATCH
"@tommcfly Thanks for coming, Chile loves you ",1,1,MATCH
"still miss my bffff!!   both of  'em!!!",-1,-1,MATCH
"@Ceirysjewellery Throwing some love to Ceirysjewellery. She just broke my100 follower barrier ",1,-1,FAIL
"Is excited about my interview  but is so tired, only one more early start this week!",1,1,MATCH
"Getting readyy. Today is going to be a busy day ",1,-1,FAIL
"@heaven_chik okay okay she gave me $20 - i guess thats more than just one week  - still hating though!!!",1,-1,FAIL
"@XPhile1908 &quot;convenience&quot; of the remedy &lt;---That's just cuz you are a doc!  #24",1,1,MATCH
"Bumbed out , Missed Jb webchat ",-1,1,FAIL
"@Lizloz Yeah - they seem to be leaning that way now - when they started it was much more about the positive aspects ",-1,1,FAIL
"is worried about my doggie!! I just found a brown looking lump on her neck...her hair is gone there too!  Andrea, help!!",-1,-1,MATCH
"@cactinino lol Surprise... ",1,1,MATCH
"Ohhh! God my schedule! Morning classes is WHATEVER. ) Class starts on May 25  Too early, huh. (:",1,-1,FAIL
"@loco92 haha.. should've guessed u would say that  okay i will.. it will amuse me for a bit  thanx!!!",1,-1,FAIL
"dang I haven't updated in a while! I love Andre' and miss him soo soo much he's in Colorado  ugh and I'm lonely ... this sux",-1,-1,MATCH
"Just got home from Nina's house the movie was awesome!! ;).... i have school 2mmorow ewwwwwwwww ",-1,-1,MATCH
"shopping.. with the family.. fuuuuun -.- and my stomac hurts ",-1,1,FAIL
"HELLO MY TWITTER FAM!!!! WHATS UP? HOW WAS EVERYONE'S WEEKEND? HOPE EVERY ONE HAD A BLESSED ONE? ",1,1,MATCH
"@tinygrab Awesome  Keep me posted!",1,1,MATCH
"@bombjaxx what history is that? Can't be arsed googling ",1,-1,FAIL
"ahh I feel so refreshed! 9.5 hours of sleep was needed ",1,-1,FAIL
"@vicky_day yeahh  i'll look into it later haha cba atm. theres like so many bands called failsafe haha myspace.com/failsafe but",1,1,MATCH
"MY DAD IS SO UNFAIR I CANT STAND IT HE CAN AFFORD TICKETS FOR SISTER 2 C MILEY CYRUS BUT CANT AFFORD TICKETS 4 WRESTLING ",-1,-1,MATCH
