File:,"../Sentiment2/Sentiment_train_set_3.csv"
TEXT,VALUE,PRED,CORRECT
"going out for lunch .. i need fresh air  @backstreetboys oh no! you're losing % on the trends  #BSB @musik_freak Why? @backstreetboys lol that's not nice! what about your dear fan in quebec! lol we are the true one from the start  lol#BSB I am running soooooo late .. meeting Julie in Charleroi and going to Fran�ois Pirette One Man Show tonight with the girls  @TweeterWall Why do keep on deleting @nick_carter from Funniest Twittericon? His account is legit! Give him his votes back, please  @carol_carter1 @BriansSexMonkey awww thanks I feel so special *blushes* KTBSPA  #BSB ",-1,-1,MATCH
"get in diversity feckin awesome better book them for my wedding  Another big infamous session god I love it  ",1,-1,FAIL
"Eating cereal and watching tv with Savanna  ",1,-1,FAIL
"beach with my @JoshesGolashes allllllllll day  ",1,-1,FAIL
"I don't want to work  Head in a toilet bowl! I'm so sick I need someone to take care of me!!!!  Isn't ready to say goodbye  ",-1,-1,MATCH
"i hate how all the good people seem to never get what they want it makes sooooo sad.  ",-1,-1,MATCH
"well nicole hasnt called me all day  ",-1,-1,MATCH
"Getting ready to try and show up at work and get someone to go home! im broke  ",-1,-1,MATCH
"Surprise, surprise  What Pet Are You Like? - http://tinyurl.com/q8t82r - You Are Like a Cat #blogthings ",1,-1,FAIL
"@Frinyanousek that's the name of my new dog...  ",1,-1,FAIL
"Hey @jonasbrothers *type your question here* #jonasliveonfb Have any song inspirated in your crazy fans  ? ",1,-1,FAIL
"@teafaniie AHH i left richard's present at your house. bring tmrw zero period?  ",-1,-1,MATCH
"@haleycairns well im at home and cant sleep. at least you have company while youre up there.  ",1,-1,FAIL
"is working this beautiful sunny day away behind the bar  ",-1,-1,MATCH
"@shwS yay! House! boo! Internets! ^^ Dexter is reallyyy good too if you can find someone with S01, seeing as a d/l won't be possible  ",-1,-1,MATCH
"There are no appointments left for the day so they're trying to work me in. almost an hour for a stuck freaking power button FML  I missed Cake Boss  thankfully they replay it. I love that show sooo freaking much. Got 1/4 of the way home &amp; had to turn around because I missed my dog too much. I know that's pathetic but I got really emotional about it  @Johnnyacop I envy your shirt! I had to miss 3eb, I was so bummed  My freaking paper plate just buckled &amp; I ended up with spaghetti all over me.  ugh FML I did something to my hand. I can't move my index finger, it hurts up to my elbow, &amp; it's all swelled up. It hurts so bad  Feeling nice &amp; comfy in my cold humidified room. I can't sleep in Marana anymore, makes my allergies go crazy. Goodnight  @thousandoceans Yes, no pain &amp; for that I am very glad. Thank you  @TragicScenery  Thank you!! I really appreciate it. Hope all is well with you  ",-1,-1,MATCH
"I LOVE THE HILLS..SO SAD LAUREN IS LEAVING  so damn tired didn't getany sleep last night, now it's catching up to me  i got a fourtune the other day and it said&quot;IF YOU DON'T LIE YOU NEVER HAVE TO REMEMBER ANYTHING&quot; so true.  @Rosa128 OMG so true...women have what men have and then some  ",-1,-1,MATCH
"@BoneHI  keep your head up my brother @sonecessary good lookin out  Hello friday  I burned my palm on the coffee part this morning nbd. Every morning on the way to work I pass the guy that drives the zip lane car. What a cute little old man  I'm not a player I just crush a lot  paddling. island cleaning. yay saturdays  @5toSucceed it was sandy's since you didn't guess  mmmm....coffee and golf  @charlieboy808 yes! and its totally gorgeous  ",-1,-1,MATCH
"some guy just pissed on my foot...#1 reason to not wear sandals to the bar - no matter how warm it is.   who the hell did my schedule this week?  oh, wait...i did.  Just finished 18 hours in the store and back at 9am for 12 more.   UGH!  Too hot to sleep.   hasn't had a day completely off work in almost 2 weeks (i think)...and I don't know what to do.   @inlineguy that sucks...well, at least you get a shiny new phone, right?   ",-1,-1,MATCH
"You know your getting old when you feel bad in the morning without having any fun the night before...    ",-1,-1,MATCH
"@ray_stephens nothing quite like the bush and fog.  ",1,-1,FAIL
"Loving the Great British weather for a change, but it's killing the turf I laid last week!  on leave for a week, great! But, have been the victim of fraudulent activity. A great start to my week...not  Wants the new iphone 3gs, but cant have one  ",-1,-1,MATCH
"@106andpark 10 million dollars for sure cuz everyone will love you then ... u can pick n choose who u wanna love  ",1,-1,FAIL
