File:,"../Sentiment2/Sentiment_test_set.csv"
TEXT,VALUE,PRED,CORRECT
"@knittydotcom Oh noooooooooo! I just sent you some pics. Too late?  is up at 5 am for the swim meet. Everyone send good weather juju, please! Tx!  @JConklin5280 Thanks!  I'm listening to The Cure. I &lt;3 The Cure. Brings back great memories.  Back from sailing the SF Bay and thru the Gate, seeing porpoises swimming alongside the boat, and eating an amazing dinner.  ",-1,-1,MATCH
"almost all moved out! Sadness  ahhh. my mother drives me insane. she makes me sad.  under the knife i go! ahh. im officially scared  hey y'all. quick update. im doing better  i dont even remember going into surgery. thanks for thoughts &amp; prayers.  ",-1,-1,MATCH
"wishes Mayka a happy birthday. Too bad I can't go to Laguna for her party.  ",-1,-1,MATCH
"Long day, Now VERY tired  No school tommorrow, i love Voting days  Weekend at last!  ",-1,-1,MATCH
"I just spilled all my secrets... ahhhh... I feel so happy!  ",1,-1,FAIL
"i cant believe that he has to come running to me and i have to give my &quot;there are plenty of other fish in the sea&quot; speech  ",-1,-1,MATCH
"Missed the WBC counterprotests.  But probably going to WaterFire with Ben, yay! @crazycrayon Yeah, it's been going on for a couple weeks now. I'm sadfaced. I've missed so much YouTube and BlogTV.  @LetterM @NosiMad I'm sad. I missed most of the Tonys, and I really don't think it's worth watching at this point.  It's the two-month mark for me and Benface. Squee!  ",-1,-1,MATCH
"Feel sick to my stomache  Ah. My birthday is almost over. Boo.  FINALLY 16  Yay! ",-1,-1,MATCH
"@ShootThunder Howdy! Ace picture!  Haha. x ",1,-1,FAIL
"found the irons and wedge sets I really want.. Too bad I can't afford them  ",-1,-1,MATCH
"@dudinhemalo yeah love to travel....2 young now....need money nd to be older...hahaha Lol  ÷) $) ",1,1,MATCH
"#Pakistan Army Chief takes a ride of F16. Menno ve chootaa chae da aay.. mai ve F16 da chhoota laina aay  #pakistan #t20 #cricket afridi won't play that well in final,no kallis on other side  #Pakcricket #t20 no loadshedding during final. Same promise was not fulfilled in semi.  ",-1,-1,MATCH
"Happy Fathers Day to all you Dads out there!! Mine is back home so a phone convo and a card in the mail will have to do.  Getting a nice nights sleep tonight! Sleeping in tomorrow too!!  Considering going home...no decisions yet t Making the big move tomorrow.   ",-1,-1,MATCH
"@Dannymcfly Please come to Bristol in July  can't stop listening to Daniel Merriweather - he's a genius!!  Just like McFLY &lt;3 @Thea1992 oke  &amp; viel glück !!! ",1,-1,FAIL
"wants to be a seat cushion, it's hard to feel inadequate as a seat cushion...  ",1,-1,FAIL
"down with fever  ",-1,-1,MATCH
"Nice to see that the Giants don't give up quite as fast as some of their &quot;fans&quot;...   ",1,-1,FAIL
"Never hear from the only person i care about.  ",-1,-1,MATCH
"IDK!! swine flu? I might have it ouch !! I lost my voice 2daez it suks real bad ae  ",-1,-1,MATCH
"busy bee  ",1,-1,FAIL
"bacon is a painful experience  ",-1,-1,MATCH
"@AkikoH, A new job wil come up soon, although sounds stressful.  teaching sounded like a good idea to be honest lol. x @AkikoH from what i've heard i'm suprised you put up with it this long  thats got to suck. have you anything in mind for your next job ? x ",1,-1,FAIL
"Girls and alchohol are the best especially when there drunk makes a straight girl go lesbo........  ",1,1,MATCH
"@alisonmichalk  My pleasure! Thanks for sharing all your insight with us  ",1,1,MATCH
"True Caribbean girl! Just ate a pretty good Haitian mango  (via @yali2005) stop..you're makin my mouth water! ",1,1,MATCH
"@RRJackson Thanks! I know feel your pain -- it bothers me to hear people say &quot;that&quot; when they should use &quot;who&quot;  ",1,-1,FAIL
"@kinagrannis I can't wait to see that soon - I've heard it's good  @kinagrannis kina. i love your new avatar. you're beautiful.  @HollyBrook can't wait to hear it  will you be coming to MN sometime soon? A glass of merlot and Bon Iver to settle into the evening. Perfect  ",1,-1,FAIL
"Happy Mother's Day Mom! And Happy Mother's Day to all Moms!    Hi go off to work we go.  ",1,-1,FAIL
"@jtotheho im sorry  is sitting at home waiting to head to the hospital  update more later, Thanks jenn! @jtotheho  have a good holiday  @jtotheho @MercedesJean  Thanks guys  yeah my mum loved it! ",-1,-1,MATCH
"At Meg's, Neck Ache From Plugged  xxx ",-1,-1,MATCH
"stupid weather  parents are staying home ",-1,-1,MATCH
"@justmileyc awe, thanks soo much! i really do appreciate it!!  @ddlovato OMG. demi! you are so amazing and beautiful! you have one of the most powerful voices i've heard! come to canada again! &lt;3  @TraceCyrus me and my friends love you!! i think yor tattos are a great perspection of art!  &lt;3 ",1,1,MATCH
"I just got my nose pierced!! I love it  And the sunshine makes me very happy today *smiles* ",1,1,MATCH
"Hmm... this chapter isn't making me happy... I wish Courtney was around so she could read it and tell me if it's going okay...  ",-1,-1,MATCH
"New layout on Gaia.  I spent an hour on that shiiiiizzle... ",1,-1,FAIL
"@kerihilsonorg I sent all the pics from the concert but the videos won't send  Strawberry Banana. Breakfast Smoothie....still didn't wake up &amp; go running this morning  I'm sooo not feeling good this morning  ..... &amp; I miss my breakfast smoothie dinner today = not so good  lol ",-1,-1,MATCH
"Happy Star Wars Day. May the 4th be with you!  Nice that we get a holiday to celebrate  #fb ",1,-1,FAIL
"Sooooo dissapointed! What an unpleasant surprise  ",-1,-1,MATCH
"uuurrrrghhhhh got the monday morning blues!!! Gotta go to work when all i wanna do is hide under the duvet  ",-1,-1,MATCH
"@amygdala apparently we're neighbors then  Friends place is actually 38th/Greenway I made the little green peace sign on my avatar. I posted it on my blog - feel free to use it  http://bit.ly/1OBIS #iranelection ",1,1,MATCH
"@ElliesonC it was good  ! How's Long Island? ",1,-1,FAIL
"@DarlingNikiWyre Aww man.  You were playing video games to escape, and then I go and send you a message bringing you back.  Sorry  ",-1,1,FAIL
"@thedarkdays I know  no new DLC, fuck buying at launch again @thedarkdays  notankz @thedarkdays No  ",-1,-1,MATCH
"i just finished doing my nails, they are electric blue  @breakfastmommy yay that's good  not to much just skating! @taylorjetaime oh yes i just woke up  hehe. GOD IS SO FAITHFUL  @MeccaSim0ne aw! im glad you had fun  &amp; no problem you looked really pretty ",1,-1,FAIL
