File:,"../Sentiment2/Sentiment_train_set_1.csv"
TEXT,VALUE,PRED,CORRECT
"Had a good day  ",1,1,MATCH
"@DarthSLR  Time to make lemonaide, Nik! ",-1,-1,MATCH
"At work, like an idiot... And then taking work HOME like a bigger idiot...  Man, if I knew I'd be up this late with stomach pain anyway, I would have gone to see transformers..  @amrosario Hey remember when that giant theater was still there? before all the killings?  ",-1,-1,MATCH
"My cherry tree has the tiny black bugs again  ",-1,-1,MATCH
"@chriscornell Outshined. But don't send tickets; I'm in Canada tonight.  ",1,-1,FAIL
"I can't sleep n the bf is nowhere 2 b found  ",-1,-1,MATCH
"@iamjonathancook I'm soooo mad I'm not going tonight yall are like my fav band but I thought I had to work and I don't  @maggiex3jonas    I WANT ED WESTWICK TO BE 2 FEET AWAY FROM ME  a family of bats decided to move into my attic  ",-1,-1,MATCH
"hurt my shoulder  but I love muscle relaxers! ",-1,-1,MATCH
"@WHOAKEN how come?  ",-1,-1,MATCH
"@Lucyvonne11 mannn i'm sorry!!! i know how it feels now  @livingpixel haha you know it! i'm always a posterstein. my head huwts again.  @acrowcity thanks!!  ",-1,-1,MATCH
"hopes mcneill had fun with his fishsticks goodnight. im so happy  ",1,1,MATCH
"@lyteforce  Ouch ... gotta fire that agent right away.  (and good luck with the house and the #canucks) ",1,1,MATCH
"It's raining pretty good here at the moment.  That might kill another trip to the Arboretuem  I wish pistachios and macadamia nuts weren't so expensive  @JoshuaDRollins @bitmapped @mmaust @MoiraNous  thanks for the ALDI information  ",-1,-1,MATCH
"hates the rain!! going bowling later  ",1,1,MATCH
"It's monday  ",-1,-1,MATCH
"this place gives &quot;tweet chirp caw&quot; a new meaning..  ",1,1,MATCH
"just saw an @missjeffreestar shirt at plato's closet....but it wasn't in my size  ",-1,-1,MATCH
"err.. feeling better now  thanks be to God! ;D woah.. june 1st.. that wuz fast.. anyways.. good morning!  er.. its a little cold here outside.. i nedda get under the sun (; .. schools not blocking me yet  hha.. weirdo @totsz25 srry.. im not going on my laptop.. sickko here  and tryna read my history book. ugh. totally ewwith (; good morning to all of you!  ",1,1,MATCH
"ohh. Shouldnt have made steak for dinner with sore tooth.  ",-1,-1,MATCH
"Oh Twitter, how I have missed you today  ",1,1,MATCH
"@joeydegraw aww so are we  see you monday!!! yay! @RobinCK aww tell him thanks for his input  @danish_girl Have soooooooo much fun girls!!!!  is being a lazy ass today^^ wrapped up in a blankie, drinking tea and listening to the rain outside...ahhhh  ",1,-1,FAIL
"A bit more jetlagged than usual  @aalmiray Yeah for sure, but at some point, say at build time, you'll have to generate that xml so that Wave picks it up  Now onto some Maven love and hate... why doesn't it want to perform:release?  @dima767 Maven is great when you've got Maven ninjas to help you when you're in trouble ;-) But it requires too deep expertise  @benjmestrallet Okie dokie, what a pity  I'll see with @tgrall what he's doing then. The #groovy / #grails / #griffon conference is starting tomorrow! Woohoo! For those interested, follow #gr8conf or @gr8conf  @jonathanfelch even showed us the math formula that crashed Wall Street  #gr8conf @tomaslin Soon  (vague notion of time, but we're still waiting for the slides of some presentations) ",-1,-1,MATCH
"I can't believe Big Bang's release was cancelled...  ",-1,-1,MATCH
"@mikeylemieux did you see the office this week?  Almost felt bad for the nard-dog! good luck with the show! @mikeylemieux I sold you're all talk yesterday! Sowee! If your after a tee design though let me know  @jenelled_ti did you get my email?  @cotygonzales Cheers for following me! Love your tee blog n vlog  http://bit.ly/wGVcz  HELLO KEYHOLE! New Tshirt design  having a barbecue  i love you sunshine! Back from a whimsical country weekend with Harriet and now it's time to tweet once more  ",1,1,MATCH
"Hopefully, FINALLY, Hanging out with Cassi today...I really need my bestfriend.  ",-1,-1,MATCH
"Graduated high school today  ",1,1,MATCH
"@ficklampa it helps when you have nice models too   http://tr.im/lzw9  http://tr.im/lzwc ",1,-1,FAIL
"@troymcmahon Dan driving is trouble!!!  &quot;Self created trouble&quot;  He did a whole message on it this weekend. Good luck!! ",1,-1,FAIL
"CANT WAIT ANYMORE. off to lunch. goodbye comp. omg. see you on saturday  LOL ",-1,-1,MATCH
"@Mz_cLeo i feel ya sis.  i be feeling da same way  ",-1,-1,MATCH
"@peaberry don't worry babe. i went for my 1st gown fitting alone &amp; my cousin said i was so non-hyped up abt it. excitement will build up.  ",1,1,MATCH
"@OneJane no search party necessary-he's working 3rd tonight  @shaneduffey thank you, thank you for the verse-totally what I needed this morning  @shaydi makes me want to get another tattoo-looks awesome  Woohoo-owner of the rental house we wanted accepted our offer4 a lower price! God is SO GOOD-excited about the move in a couple of weeks  Prayer answered!!!! AND-better than @RHINO19 and I had hoped for  @OneJane yeah-you have newspaper  tomorrow would be great!!! Anyone else with newspaper-HELP-need tons  Getting ready to go see Skye graduate from Kindergarten this morning...WOW how time flies!!!  ",-1,-1,MATCH
"im jealous that i can't go to porc fest this year  ",-1,-1,MATCH
"@UniiqueChiq I don't know why it won't let me follow her!!  ",-1,-1,MATCH
"Downloaded new stuff to the wii - Fun toy  ",1,1,MATCH
"@jagadee had to attend a birthday party tonight, but defly checking this out tomorrow  ",1,-1,FAIL
"cant be bothered gwtting dressed  x ",-1,-1,MATCH
"@missmirjana thank you....  ",1,-1,FAIL
