File:,"../Sentiment2/Sentiment_train_set_1.csv"
TEXT,VALUE,PRED,CORRECT
"Had a good day  ",1,-1,FAIL
"@DarthSLR  Time to make lemonaide, Nik! ",-1,-1,MATCH
"At work, like an idiot... And then taking work HOME like a bigger idiot...  Man, if I knew I'd be up this late with stomach pain anyway, I would have gone to see transformers..  @amrosario Hey remember when that giant theater was still there? before all the killings?  ",-1,-1,MATCH
"My cherry tree has the tiny black bugs again  ",-1,-1,MATCH
"@chriscornell Outshined. But don't send tickets; I'm in Canada tonight.  ",1,-1,FAIL
"I can't sleep n the bf is nowhere 2 b found  ",-1,-1,MATCH
"@iamjonathancook I'm soooo mad I'm not going tonight yall are like my fav band but I thought I had to work and I don't  @maggiex3jonas    I WANT ED WESTWICK TO BE 2 FEET AWAY FROM ME  a family of bats decided to move into my attic  ",-1,-1,MATCH
"hurt my shoulder  but I love muscle relaxers! ",-1,-1,MATCH
"@WHOAKEN how come?  ",-1,-1,MATCH
"@Lucyvonne11 mannn i'm sorry!!! i know how it feels now  @livingpixel haha you know it! i'm always a posterstein. my head huwts again.  @acrowcity thanks!!  ",-1,-1,MATCH
"hopes mcneill had fun with his fishsticks goodnight. im so happy  ",1,-1,FAIL
"@lyteforce  Ouch ... gotta fire that agent right away.  (and good luck with the house and the #canucks) ",1,-1,FAIL
"It's raining pretty good here at the moment.  That might kill another trip to the Arboretuem  I wish pistachios and macadamia nuts weren't so expensive  @JoshuaDRollins @bitmapped @mmaust @MoiraNous  thanks for the ALDI information  ",-1,-1,MATCH
"hates the rain!! going bowling later  ",1,-1,FAIL
"It's monday  ",-1,-1,MATCH
"this place gives &quot;tweet chirp caw&quot; a new meaning..  ",1,-1,FAIL
"just saw an @missjeffreestar shirt at plato's closet....but it wasn't in my size  ",-1,-1,MATCH
"err.. feeling better now  thanks be to God! ;D woah.. june 1st.. that wuz fast.. anyways.. good morning!  er.. its a little cold here outside.. i nedda get under the sun (; .. schools not blocking me yet  hha.. weirdo @totsz25 srry.. im not going on my laptop.. sickko here  and tryna read my history book. ugh. totally ewwith (; good morning to all of you!  ",1,-1,FAIL
"ohh. Shouldnt have made steak for dinner with sore tooth.  ",-1,-1,MATCH
"Oh Twitter, how I have missed you today  ",1,-1,FAIL
"@joeydegraw aww so are we  see you monday!!! yay! @RobinCK aww tell him thanks for his input  @danish_girl Have soooooooo much fun girls!!!!  is being a lazy ass today^^ wrapped up in a blankie, drinking tea and listening to the rain outside...ahhhh  ",1,-1,FAIL
"A bit more jetlagged than usual  @aalmiray Yeah for sure, but at some point, say at build time, you'll have to generate that xml so that Wave picks it up  Now onto some Maven love and hate... why doesn't it want to perform:release?  @dima767 Maven is great when you've got Maven ninjas to help you when you're in trouble ;-) But it requires too deep expertise  @benjmestrallet Okie dokie, what a pity  I'll see with @tgrall what he's doing then. The #groovy / #grails / #griffon conference is starting tomorrow! Woohoo! For those interested, follow #gr8conf or @gr8conf  @jonathanfelch even showed us the math formula that crashed Wall Street  #gr8conf @tomaslin Soon  (vague notion of time, but we're still waiting for the slides of some presentations) ",-1,-1,MATCH
"I can't believe Big Bang's release was cancelled...  ",-1,-1,MATCH
"@mikeylemieux did you see the office this week?  Almost felt bad for the nard-dog! good luck with the show! @mikeylemieux I sold you're all talk yesterday! Sowee! If your after a tee design though let me know  @jenelled_ti did you get my email?  @cotygonzales Cheers for following me! Love your tee blog n vlog  http://bit.ly/wGVcz  HELLO KEYHOLE! New Tshirt design  having a barbecue  i love you sunshine! Back from a whimsical country weekend with Harriet and now it's time to tweet once more  ",1,-1,FAIL
"Hopefully, FINALLY, Hanging out with Cassi today...I really need my bestfriend.  ",-1,-1,MATCH
"Graduated high school today  ",1,-1,FAIL
"@ficklampa it helps when you have nice models too   http://tr.im/lzw9  http://tr.im/lzwc ",1,-1,FAIL
"@troymcmahon Dan driving is trouble!!!  &quot;Self created trouble&quot;  He did a whole message on it this weekend. Good luck!! ",1,-1,FAIL
"CANT WAIT ANYMORE. off to lunch. goodbye comp. omg. see you on saturday  LOL ",-1,-1,MATCH
"@Mz_cLeo i feel ya sis.  i be feeling da same way  ",-1,-1,MATCH
"@peaberry don't worry babe. i went for my 1st gown fitting alone &amp; my cousin said i was so non-hyped up abt it. excitement will build up.  ",1,-1,FAIL
"@OneJane no search party necessary-he's working 3rd tonight  @shaneduffey thank you, thank you for the verse-totally what I needed this morning  @shaydi makes me want to get another tattoo-looks awesome  Woohoo-owner of the rental house we wanted accepted our offer4 a lower price! God is SO GOOD-excited about the move in a couple of weeks  Prayer answered!!!! AND-better than @RHINO19 and I had hoped for  @OneJane yeah-you have newspaper  tomorrow would be great!!! Anyone else with newspaper-HELP-need tons  Getting ready to go see Skye graduate from Kindergarten this morning...WOW how time flies!!!  ",-1,-1,MATCH
"im jealous that i can't go to porc fest this year  ",-1,-1,MATCH
"@UniiqueChiq I don't know why it won't let me follow her!!  ",-1,-1,MATCH
"Downloaded new stuff to the wii - Fun toy  ",1,-1,FAIL
"@jagadee had to attend a birthday party tonight, but defly checking this out tomorrow  ",1,-1,FAIL
"cant be bothered gwtting dressed  x ",-1,-1,MATCH
"@missmirjana thank you....  ",1,-1,FAIL
"ahh, the thought of Mr Parr has just come up. I fully miss him.  oh well, the wholeworld already knows I'm a nut!  ",-1,-1,MATCH
"Toothaches suck!  @danjlevy more like she is 'obssesed' with herself!  ",-1,-1,MATCH
"sooo hot &amp; burnt! big exam tomoro  followed by the sats :-D! x http://twurl.nl/zyrqml ",-1,-1,MATCH
"Why are guys complete and utter assholes  ",-1,-1,MATCH
"@ China buffet for lunch. Just like every other chinese buffet in the world.  ",-1,-1,MATCH
"Rather tired after last nights works. Getting woken up early doesn't help either  @scotthorsley time for a strong curry to clear it right out  ",-1,-1,MATCH
"aaaaahhhh.... finally done. next stop zippy's.  @EMILIOOOOOO you know how we do son...  ",1,-1,FAIL
"mommie is sad  ... i don't wanna see her like that I had a bad day plus MILLIONS of homework  @ddlovato lol yes that's right  ",-1,-1,MATCH
"XP just blue screened on me. It might be a rare occurence but still fustrating.  @dhuang is iWife expensive? And can I uninstall if I don't like it?  @ntakayama hmmm so my question was auto answered just because I asked?  ",-1,-1,MATCH
"you may say that you love him, now tell me what the love shit´s for ?   o cd novo do NFG é demais  fica a dica ",1,-1,FAIL
"@mynameisorman frub was modeled on you  not at WOH, freelance now and trying in vain to get my own projects launched @Smifster you didn't drive like a maniac and almost die then?   ",1,-1,FAIL
"I want to move back to London soooo badly...  ",-1,-1,MATCH
"@JonathanRKnight i wish i  would in california.....i m so sad  @jensen_ackles forget jason manns sing with these guys http://bit.ly/v3sf8     @mishacollins 	horrible eating habits, therefore, live on an island!!!!  ",-1,-1,MATCH
"@zztzed I have to wait until I get home.  @rljd when you put that kind of stuff on Twitter you hinder further discussion.  Oncall (for more than usual) and expecting trouble so I'm hiding inside and being productive. But my lamp is broken  @harrisw It's so true  ",-1,-1,MATCH
"@slightclutter You're so cute when you're buzzed!!!  We HAVE to go drinking one night. @1kecko Thanks for the suggestion - I'll have the husband look into it  Tummy feeling much better - off to shower and prepare for a day of little league, hot dogs, family and fun. Happy Saturday everyone  Just finished video chatting with @stephenhadley. Great to see his smiling face in the morning, even when I'm far away  @SarahH648 No. I figured I better not drink and walk - I'm clumsy enough as it is  At the airport happily awaiting my flight back to Houston and my sweet @stephenhadley. So great to come home to the love of my life  ",1,-1,FAIL
"(4 x champagne) + (2 x rum n coke) made me a screamer on the dancefloor, literally. I think I scared away the boys  I can't get my head around why I'm still hung up about _ _ _ _ _ _  I finally signed up on @ rotocasted. Happily adding to my Collection n Wishlist but am annoyed the site only shows up properly on Safari  I finally signed up on @rotocasted. Happily adding to my Collection n Wishlist but am annoyed the site only shows up properly on Safari  Satisfying my hor fan cravings with... black carrot cake. Bras Basah Kopitiam has no hor fan??! It was nice tho  http://twitpic.com/6byht @redhotrobot Wooo Rock on! Wish I could be there  @Amizadai Wow ok cool. EIC was in charge of the story, didn't know much about the copy. Small small world  ",-1,-1,MATCH
"Tried laying out today but wasps kept attacking me!  ",-1,-1,MATCH
"damn the cubs won  ",-1,-1,MATCH
"By today just is! until tomorrow people, bye  Until tomorrow people, bye  ",1,-1,FAIL
"@BuddhaLiscious Nope not until around 3am EST tonight! Boo  ",-1,-1,MATCH
"@mmproject - had chinese 20 mins ago, i regret it now  @tylerakira - ughhh!!! have to go back there tonight  @dontexplode - awesome, dood! isn't that a great feeling? ps: music is like the air is breathe  My sister's operation went great. She's walking today, ate a bunch of jello and is allowed to go home for bed rest tomorrow  @cookiesfordan - my pleasure  @emmystarbrown - love IS in the air. Love u w all of my graces, beb  ",-1,-1,MATCH
"@thomleaman oh poo! we leave for Croatia that day or else we'd be well up for it  ",-1,-1,MATCH
"@DavidNoorigian   Need new tires ",-1,-1,MATCH
"hey hey it's a beautiful day  #ASOT400 ",1,-1,FAIL
"getting on that laundry right away!!!  ",1,-1,FAIL
"Hello to a new day! Time for Starbucks  ok...the good news is...i get to keep all of my organs  ",1,-1,FAIL
"@adamcurry can I get download version of the Dvorak Interlude... since streaming is banned at work...  @Pink wow... That's scary... Tell him to make scary face  @gadgeterija U 1 crazy (insert expletive)  kickin' some butt w/ those wheels... tico rulzz... I hade his big brother Matiz for 7 years @zmindless no no no... your first tweet  ok... I need @flickchart invitation... anyone? desperate  wow... I passed a milestone today... 1000 tweets... I am no @ivospigel but I try to amuse you...  Congrats @ivospigel on your 1500 tweet @franticnews when new, most of them are  @jeffcannata if you come... I'll pay dinner  a twitter client for commodore 64  WTF?!?!?  http://bit.ly/FAfj8 ",-1,-1,MATCH
"I hate I miss my am walk with my 2 partners  20 flights it is ",-1,-1,MATCH
"Political cartoon due at the beginning of the hour tomorrow. See you then!   ",1,-1,FAIL
"@evilmaharaja Oh Snap!! You like playing Xbox? I love playing Xbox, but we got no online hookup overhere  Fav game is Rockband, urs? ",-1,-1,MATCH
"Good Morning! This weather is horrible  ",-1,-1,MATCH
"just woke up. (: Good Afternoon.  http://plurk.com/p/xcsnb http://tinyurl.com/lf3r64 (&quot;YOU FOUND ME&quot; - The Fray) (music) Good song.  http://plurk.com/p/xr1pe http://tinyurl.com/pojmrn (HOW TO SAVE A LIFE - The Fray) (music) Good Afternoon.  http://plurk.com/p/y1204 @AyanaGrace hello yan yan. hehehe.  welcome to twitter!  ",1,-1,FAIL
"Finally going to sleep... getting up in ohhh... about 4 hours  ",-1,-1,MATCH
"Don't 4 get to call your moms tomorrow...mothers day  ",1,-1,FAIL
"However, this is my favorite! Wasn't in my shower though  http://twitpic.com/6ijkl ",-1,-1,MATCH
"really need some help  ",-1,-1,MATCH
"@Jewels_xo It'll be a minute, kiddo.  but watching QaF with you right now sounds awesome. Sometimes, even when I'm feeling strongest, knowing that the pain is so far from over makes me feel so weak.  ",-1,-1,MATCH
"@picksliding using feeds will make this a giant pain  Aunt missed the collision train by 2 trains. The accident looks very bad.  ",-1,-1,MATCH
"No Meet The Press or Inside Washington. Just lovely quietness.  w/ a few giggles. @AcdJzFnd It's your birthday? Well Happy BDay lady!  @fatbellybella lol cute.  BTW Happy Mother's Day lady  #Followfriday @erincarly Because she is one of my &quot;homies&quot; and a Diva of photography. Throw some gigs her way. You won't regret.  ",1,-1,FAIL
"not not not going to dancing  (Y) ",1,-1,FAIL
"http://twitpic.com/6fmgr - Heroscape wave 1 get! All are welcome to come on wednesday to try them out.  ",1,-1,FAIL
